a 40911
d 80707
p 71101
D 40210
a 50408
d 60304
D 40707
a 60403
| 00303
Y 110711
d 90610
A 70609
A 30202
F 61001
' 20405
d 60508
d 20307
D 00601
` 91105
a 10503
a 100807
D 90700
d 51110
A 70802
A 20803
R 20406
, 41004
D 110604
7 00306
a 100606
d 80108
A 51009
d 90909
v 20306
A 31011
A 40606
a 51110
D 00806
/ 20500
d 60704
a 30209
A 100104
f 30204
D 110703
D 10811
A 41110
D 00201
A 70206
p 10602
B 10310
d 90308
a 100903
d 91105
a 10710
D 80807
a 60008
T 10709
a 100307
A 80710
D 50703
o 100206
o 110204
D 71102
A 50700
a 10000
A 20406
a 30301
/ 00903
W 60607
A 70210
d 20910
O 90403
A 80902
a 80101
a 41104
D 40909
n 11001
d 50309
) 61109
a 70307
D 10205
A 50906
a 30608
d 00001
R 20809
d 11104
D 40711
a 10501
c 80603
a 80208
d 110409
D 50200
a 80208
A 00103
Q 80702
a 20407
D 30906
5 10500
A 20704
t 00210
a 101008
D 50402
A 80503
d 100205
D 80400
D 30006
A 00001
A 30900
d 60900
d 70702
d 91104
A 60710
a 50901
_ 21007
d 30111
d 70705
D 30602
A 20208
E 70710
D 70207
a 70500
d 90510
d 100905
D 20107
a 30806
d 50505
a 10408
a 30408
D 30103
a 60811
a 10001
d 110604
7 20401
a 91101
d 80403
A 40808
a 20604
A 60209
D 50505
d 61110
D 80106
a 50210
1 110703
> 10911
A 30007
5 110502
a 110607
d 90204
d 111007
d 51001
d 00508
A 110411
D 60304
D 100707
` 50705
a 30800
A 60509
- 50706
d 80603
n 70803
a 50303
x 80801
a 110811
d 30000
D 50203
2 100610
A 00302
d 101110
@ 00300
a 31103
D 40605
a 80311
: 70801
_ 10806
| 70000
a 81100
d 31102
a 100501
d 90605
a 80901
R 110904
( 70004
D 60407
A 50900
s 80901
@ 20106
a 60611
- 40008
d 00202
a 70602
M 00211
a 11007
6 80810
- 31111
A 100101
a 100600
Y 01000
a 50907
a 30105
a 90606
d 30611
d 30406
F 00905
D 10411
a 30206
% 50907
U 90502
@ 70701
A 70800
D 40604
a 80211
d 20501
A 61103
M 20604
a 50603
d 00510
) 60200
D 10004
3 40008
a 50403
